cod_tienda,sales_surface_sqmeters,ventas_valor_per_store,Channel,revenue_per_sqmeter,cluster_labels,cluster_id
222,500,22208.21,Supermarkets,44.41642,cluster_1,1
66,300,85020.3,Supermarkets,283.401,cluster_1,1
161,500,3743.25,Supermarkets,7.4865,cluster_1,1
195,11900,1772254.94,Hipermarkets,148.9289865546,cluster_0,0
37,700,133399.51,Supermarkets,190.5707285714,cluster_1,1
119,7900,163462.79,Hipermarkets,20.6914924051,cluster_0,0
224,1300,568454.98,Supermarkets,437.2730615385,cluster_1,1
70,8500,321164.45,Hipermarkets,37.7840529412,cluster_0,0
92,300,59172.93,Supermarkets,197.2431,cluster_1,1
260,200,39006.53,Supermarkets,195.03265,cluster_1,1
18,200,58055.39,Supermarkets,290.27695,cluster_1,1
16,10700,2693721.28,Hipermarkets,251.7496523364,cluster_0,0
178,9500,900245.42,Hipermarkets,94.7626757895,cluster_0,0
187,3100,393992.42,Hipermarkets,127.0943290323,cluster_1,1
116,1600,461666.07,Supermarkets,288.54129375,cluster_1,1
53,1400,373478.29,Supermarkets,266.7702071429,cluster_1,1
245,1200,580806.37,Supermarkets,484.0053083333,cluster_1,1
46,500,104834.6,Supermarkets,209.6692,cluster_1,1
122,300,13968.83,Supermarkets,46.5627666667,cluster_1,1
215,800,124458.21,Supermarkets,155.5727625,cluster_1,1
256,400,363759.58,Supermarkets,909.39895,cluster_1,1
180,600,85899.93,Supermarkets,143.16655,cluster_1,1
100,1800,757173.17,Supermarkets,420.6517611111,cluster_1,1
217,800,511261.68,Supermarkets,639.0771,cluster_1,1
201,200,285429.56,Supermarkets,1427.1478,cluster_1,1
175,200,111879.74,Supermarkets,559.3987,cluster_1,1
186,600,50505.65,Supermarkets,84.1760833333,cluster_1,1
73,200,4338.88,Supermarkets,21.6944,cluster_1,1
9,800,152622.43,Supermarkets,190.7780375,cluster_1,1
289,300,32733.97,Supermarkets,109.1132333333,cluster_1,1
131,3400,454119.98,Hipermarkets,133.5647,cluster_1,1
218,2800,439034.16,Hipermarkets,156.7979142857,cluster_1,1
292,1800,380613.34,Supermarkets,211.4518555556,cluster_1,1
162,1300,269063.59,Supermarkets,206.9719923077,cluster_1,1
190,2000,330132.02,Supermarkets,165.06601,cluster_1,1
160,8000,554520.37,Hipermarkets,69.31504625,cluster_0,0
202,1400,129905.26,Supermarkets,92.7894714286,cluster_1,1
89,300,7849.4,Supermarkets,26.1646666667,cluster_1,1
40,2000,206261.71,Supermarkets,103.130855,cluster_1,1
275,1400,212746.52,Supermarkets,151.9618,cluster_1,1
154,300,33347.34,Supermarkets,111.1578,cluster_1,1
13,200,91431.52,Supermarkets,457.1576,cluster_1,1
85,400,141841.85,Supermarkets,354.604625,cluster_1,1
261,2200,374033.14,Supermarkets,170.0150636364,cluster_1,1
49,700,63208.76,Supermarkets,90.2982285714,cluster_1,1
58,600,17058.54,Supermarkets,28.4309,cluster_1,1
159,700,362212.61,Supermarkets,517.4465857143,cluster_1,1
273,900,151512.41,Supermarkets,168.3471222222,cluster_1,1
286,2700,218254.83,Hipermarkets,80.8351222222,cluster_1,1
244,600,7077.81,Supermarkets,11.79635,cluster_1,1
240,600,4998.12,Supermarkets,8.3302,cluster_1,1
123,600,4742.6,Supermarkets,7.9043333333,cluster_1,1
130,700,24607.45,Supermarkets,35.1535,cluster_1,1
