cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
154,33347.34,Supermarkets,111.1578,Ourense,Industrial,Ourense,11937,Traditional Store,3
155,2344544.08,Hipermarkets,234.454408,Guipuzkoa,Industrial,Guipuzkoa,16399,Smaller Metropolis,5
156,12307.46,Supermarkets,61.5373,Leon,Primary Sector,Leon,12917,Slow stores,4
157,21750.04,Supermarkets,36.2500666667,Cantabria,Industrial,Cantabria,12865,Traditional Store,3
158,1865860.03,Hipermarkets,149.2688024,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
159,362212.61,Supermarkets,517.4465857143,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
160,554520.37,Hipermarkets,69.31504625,Almeria,Primary Sector,Almeria,9709,Suburban Stores,0
161,3743.25,Supermarkets,7.4865,Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
162,269063.59,Supermarkets,206.9719923077,Toledo,Industrial,Toledo,10533,Suburban Stores,0
163,13498.87,Supermarkets,26.99774,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
164,309489.2,Supermarkets,257.9076666667,Castellon,Primary Sector,Castellon,12079,Slow stores,4
165,2.28,Supermarkets,0.00456,Huelva,Primary Sector,Huelva,10112,Suburban Stores,0
167,16255.43,Supermarkets,10.15964375,Huesca,Primary Sector,Huesca,13158,Slow stores,4
168,245285.49,Hipermarkets,22.7116194444,Cadiz,Industrial,Cadiz,10113,Suburban Stores,0
169,339455.78,Hipermarkets,99.8399352941,Huesca,Primary Sector,Huesca,13158,Slow stores,4
170,534196.84,Supermarkets,232.2594956522,Badajoz,Industrial,Badajoz,10001,Suburban Stores,0
171,603116.73,Supermarkets,603.11673,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
172,243115.92,Supermarkets,810.3864,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Cosmopolitans,6
173,1946860.0,Hipermarkets,190.868627451,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
174,113902.82,Supermarkets,1139.0282,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Cosmopolitans,6
175,111879.74,Supermarkets,559.3987,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
176,212797.5,Supermarkets,141.865,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
177,37086.98,Supermarkets,46.358725,Murcia,Industrial,Murcia,10574,Suburban Stores,0
178,900245.42,Hipermarkets,94.7626757895,Asturias,Industrial,Asturias,13505,Traditional Store,3
179,841561.05,Supermarkets,601.1150357143,Granada,Industrial,Granada,10463,For the tourists,2
180,85899.93,Supermarkets,143.16655,Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
181,922.89,Supermarkets,3.0763,Lleida,Primary Sector,Lleida,12896,Slow stores,4
182,2520507.75,Hipermarkets,240.0483571429,Malaga,touristic,Malaga,10261,Suburban Stores,0
183,395627.89,Supermarkets,219.7932722222,Valladolid,Industrial,Valladolid,13490,Traditional Store,3
184,52482.59,Supermarkets,104.96518,Guipuzkoa,Industrial,Guipuzkoa,16399,Smaller Metropolis,5
185,362586.51,Supermarkets,329.6241,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
186,50505.65,Supermarkets,84.1760833333,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
187,393992.42,Hipermarkets,127.0943290323,Navarra,Primary Sector,Navarra,14718,Slow stores,4
189,267844.38,Supermarkets,892.8146,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Cosmopolitans,6
190,330132.02,Supermarkets,165.06601,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
191,42716.95,Supermarkets,106.792375,La Coruña,Industrial,La Coruña,12841,Traditional Store,3
192,345412.31,Supermarkets,314.0111909091,Alicante,touristic,Alicante,14962,The Socials,1
193,241573.7,Supermarkets,172.5526428571,Valencia,Industrial,Valencia,12333,Traditional Store,3
194,1210111.5,Hipermarkets,417.2798275862,Vizcaya,Industrial,Vizcaya,15555,The Socials,1
195,1772254.94,Hipermarkets,148.9289865546,Vizcaya,Industrial,Vizcaya,15555,Smaller Metropolis,5
196,4362526.85,Hipermarkets,382.6777938596,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
199,168483.18,Supermarkets,84.24159,Alava,Industrial,Alava,14962,Traditional Store,3
200,8073.97,Supermarkets,20.184925,Castellon,Primary Sector,Castellon,12079,Slow stores,4
201,285429.56,Supermarkets,1427.1478,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Cosmopolitans,6
202,129905.26,Supermarkets,92.7894714286,Asturias,Industrial,Asturias,13505,Traditional Store,3
